,ingredient,uses,warnings,before_taking,Side Effects
719,Ondansetron,"Ondansetron blocks the actions of chemicals in the body that can trigger nausea and vomiting. Ondansetron is used to prevent nausea and vomiting that may be caused by surgery, cancer chemotherapy , or radiation treatment. Ondansetron may be used for purposes not listed in this medication guide.","You should not use ondansetron if you are also using apomorphine (Apokyn). You should not use ondansetron if you are allergic to it or to similar medicines such as dolasetron (Anzemet), granisetron (Kytril), or palonosetron (Aloxi). Before taking ondansetron, tell your doctor if you have liver disease, or a personal or family history of Long QT syndrome. Ondansetron orally disintegrating tablets may contain phenylalanine. Tell your doctor if you have phenylketonuria (PKU). Serious side effects of ondansetron include blurred vision or temporary vision loss (lasting from only a few minutes to several hours), slow heart rate, trouble breathing, anxiety, agitation, shivering, feeling like you might pass out, and urinating less than usual or not at all. Stop taking this medicine and call your doctor at once if you have any of these side effects. Ondansetron may impair your thinking or reactions. Be careful if you drive or do anything that requires you to be alert.","You should not use ondansetron if: you are also using apomorphine (Apokyn); or you are allergic to ondansetron or similar medicines (dolasetron, granisetron, palonosetron). To make sure ondansetron is safe for you, tell your doctor if you have: liver disease; an electrolyte imbalance (such as low levels of potassium or magnesium in your blood); congestive heart failure, slow heartbeats; a personal or family history of long QT syndrome; or a blockage in your digestive tract (stomach or intestines). Ondansetron is not expected to harm an unborn baby. Tell your doctor if you are pregnant. It is not known whether ondansetron passes into breast milk or if it could harm a nursing baby. Tell your doctor if you are breast-feeding a baby. Ondansetron is not approved for use by anyone younger than 4 years old. Ondansetron orally disintegrating tablets may contain phenylalanine. Tell your doctor if you have phenylketonuria (PKU).","Get emergency medical help if you have signs of an allergic reaction to ondansetron: rash, hives; fever, chills, difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: severe constipation, stomach pain, or bloating; headache with chest pain and severe dizziness, fainting, fast or pounding heartbeats; fast or pounding heartbeats; jaundice (yellowing of the skin or eyes); blurred vision or temporary vision loss (lasting from only a few minutes to several hours); high levels of serotonin in the body--agitation, hallucinations, fever, fast heart rate, overactive reflexes, nausea, vomiting, diarrhea, loss of coordination, fainting. Common ondansetron side effects may include: diarrhea or constipation; headache; drowsiness; or tired feeling. This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088."
720,Onfi,"Onfi is a benzodiazepine (ben-zoe-dye-AZE-eh-peen). It is thought that clobazam works by enhancing the activity of certain neurotransmitters in the brain. Onfi is used in combination with other medications to treat seizures caused by Lennox-Gastaut syndrome, a severe form of childhood epilepsy that also causes developmental and behavior problems. Onfi in for use in patients 2 years of age or older. It is not known if this medicine is safe and effective in children less than 2 years old.","Onfi can slow or stop your breathing, especially if you have recently used an opioid medication or alcohol. MISUSE OF THIS MEDICINE CAN CAUSE ADDICTION, OVERDOSE, OR DEATH. Keep the medication in a place where others cannot get to it. Some people have thoughts about suicide while taking seizure medicine. Tell your doctor right away if you have any sudden changes in mood or behavior, or thoughts about suicide. Get emergency medical help if you have a severe skin reaction (skin pain, skin rash with blistering). Do not stop using Onfi without asking your doctor. You may have increased seizures or life-threatening withdrawal symptoms if you stop using the medicine suddenly after long-term use. Some withdrawal symptoms may last up to 12 months or longer. Get medical help right away if you stop using Onfi and have symptoms such as: unusual muscle movements, being more active or talkative, sudden and severe changes in mood or behavior, confusion, hallucinations, seizures, or thoughts about suicide.","You should not take Onfi if you are allergic to clobazam. To make sure Onfi is safe for you, tell your doctor if you have ever had: breathing problems or lung disease; depression , mood problems, or suicidal thoughts or behavior; a drug or alcohol addiction; or liver or kidney disease. Some people have thoughts about suicide while taking seizure medicine. Stay alert to changes in your mood or symptoms. Your family or caregivers should also watch for sudden changes in your behavior. If you use Onfi during pregnancy, your baby could be born with life-threatening withdrawal symptoms, and may need medical treatment for several weeks. Do not start or stop seizure medication during pregnancy without your doctor's advice. Clobazam may harm an unborn baby, but having a seizure during pregnancy could harm both mother and baby. Preventing seizures may outweigh these risks. Tell your doctor right away if you become pregnant. There may be other seizure medications that are safer to use during pregnancy. Onfi can make hormonal birth control less effective, including birth control pills , injections, implants, skin patches, and vaginal rings. Use a back-up barrier birth control to prevent pregnancy: condom, diaphragm, cervical cap, or contraceptive sponge. Keep using birth control for at least 28 days after your last dose of Onfi. If you are breastfeeding, tell your doctor if you notice drowsiness or feeding problems in the nursing baby. Onfi is not approved for use by anyone younger than 2 years old.","Get emergency medical help if you have signs of an allergic reaction to Onfi ( hives , difficult breathing, swelling in your face or throat) or a severe skin reaction (fever, sore throat , burning eyes, skin pain, red or purple skin rash with blistering and peeling). Onfi can slow or stop your breathing, especially if you have recently used an opioid medication or alcohol. A person caring for you should seek emergency medical attention if you have slow breathing with long pauses, blue colored lips, or if you are hard to wake up. Report any new or worsening symptoms to your doctor, such as: mood or behavior changes, anxiety , panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), more depressed, or have thoughts about suicide or hurting yourself. Call your doctor at once if you have: weak or shallow breathing; severe drowsiness, feeling like you might pass out; or problems with balance or muscle movement. Drowsiness or dizziness may last longer in older adults. Use caution to avoid falling or accidental injury. Common Onfi side effects may include: drowsiness, tiredness, trouble sleeping; slurred speech; anger, aggression; constipation ; painful urination; fever, cough, breathing problems; or drooling . This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088."
721,Ongentys,"Ongentys is a prescription medicine that inhibits the enzyme catechol-O-methyltransferase (COMT). COMT is involved in the degradation of certian neurotransmitters such as dopamine, epinephrine, and norepinephrine. Ongentys is used together with carbidopa and levodopa to treat symptoms of ""off"" episodes (stiffness, tremors, muscle spasms, poor muscle control) in people with Parkinson's disease . It is not known if Ongentys is safe and effective in children.","Do not use Ongentys if you have used an MAO inhibitor in the past 14 days, such as isocarboxazid , linezolid , methylene blue injection, phenelzine , tranylcypromine and others. Do not use Ongentys if you have a tumor that secretes hormones known as catecholamines. These tumors include pheochromocytoma (a type of adrenal gland tumor) and paraganglioma.","You should not use Ongentys if you are allergic to opicapone, or if you have a certain type of tumor that secretes hormones , such as: pheochromocytoma (tumor of the adrenal gland); or paraganglioma (tumor of the nerve cells). To make sure Ongentys is safe for you, tell your doctor if you have ever had: a sleep disorder that causes daytime sleepiness; narcolepsy or other conditions that cause sudden sleepiness; uncontrolled muscle movements; unusual and intense urges to act on impulse (such as gambling, binge-eating, or compulsive shopping); mental illness, hallucinations, or psychosis; liver disease; or kidney disease. Tell your doctor if you are pregnant or breastfeeding.","Get emergency medical help if you have signs of an allergic reaction to Ongentys: hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: a light-headed feeling, like you might pass out; confusion, hallucinations (hearing or seeing something that is not there); aggression, agitation , unusual thoughts or behavior; uncontrolled muscle movements in your face (chewing, lip smacking, frowning, tongue movement, blinking or eye movement); or worsening tremors, stiffness, or muscle spasms. You may have increased sexual urges, unusual urges to gamble, or other intense urges while taking this medicine. Talk with your doctor if this occurs. Common Ongentys side effects may include: feeling light-headed; uncontrolled muscle movement; abnormal blood tests; constipation ; or weight loss . When you stop taking Ongentys, watch for withdrawal symptoms such as: stiff muscles, high fever, sweating, confusion, fast or uneven heartbeats, tremors, or feeling like you might pass out. This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088."
722,Onureg,Onureg is a prescription medicine used for continued treatment of adults with acute myeloid leukemia (AML) who: It is not known if Onureg is safe and effective in children under 18 years of age.,Both men and women using Onureg should use effective birth control to prevent pregnancy. Azacitidine can harm an unborn baby if the mother or father is using this medicine.,"You should not use Onureg if you are allergic to azacitidine. To make sure Onureg is safe for you, tell your doctor if you have: kidney disease; or liver disease. Azacitidine can harm an unborn baby if the mother or the father is using this medicine. If you are a woman, you may need to have a negative pregnancy test before starting this treatment. Do not use Onureg if you are pregnant. Use effective birth control to prevent pregnancy while you are using this medicine. If you take Onureg , keep using birth control for at least 6 months after your last dose. If you are a man, use effective birth control if your sex partner is able to get pregnant. If you take Onureg, keep using birth control for at least 3 months after your last dose. Tell your doctor right away if a pregnancy occurs while either the mother or the father is using Onureg. Onureg may affect fertility (ability to have children) in both men and women. However, it is important to use birth control to prevent pregnancy because this medicine can harm an unborn baby. You should not breastfeed while using Onureg. Also do not breastfeed for at least 1 week after your last dose of Onureg .","Get emergency medical help if you have signs of an allergic reaction to Onureg : hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: severe ongoing nausea , vomiting , or diarrhea ; redness, swelling, warmth, oozing, or other signs of skin infection ; low blood cell counts--fever, chills, tiredness, mouth sores, skin sores, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed or short of breath; signs of a lung infection--fever, cough with mucus, chest pain, feeling short of breath; kidney problems--pain in your lower back, blood in your urine, little or no urination, swelling in your feet or ankles; liver problems--upper stomach pain, itching, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); low potassium level--leg cramps, constipation , irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling, muscle weakness or limp feeling; or signs of tumor cell breakdown--tiredness, weakness, muscle cramps, nausea, vomiting, diarrhea, fast or slow heart rate , tingling in your hands and feet or around your mouth. Common Onureg side effects may include: fever, chills, bruising, or other signs of low blood cell counts; lung infection; low potassium; nausea, vomiting, stomach pain, loss of appetite; constipation, diarrhea; joint pain, pain in your arms or legs; feeling weak or tired; or dizziness . This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088."
723,Opdivo,"Opdivo (nivolumab) is a cancer medicine that is given intravenously (into a vein) that works with your immune system to interfere with the growth and spread of cancer cells in the body. Opdivo is used alone or in combination with other medicines to treat adults with: For some cancers, such as melanoma and colorectal cancer, Opdivo is also approved for children aged 12 years and older. See the prescribing information for a full list of indications and eligibility criteria. Opdivo is often given when the cancer has spread to other parts of the body (metastatic), cannot be surgically removed, or has come back after prior treatment. Opdivo is sometimes given only if laboratory testing shows specific genetic markers or DNA mutations associated with your cancer. Opdivo belongs to the class of medicines known as checkpoint inhibitors and works by blocking the PD-1 (programmed death receptor-1) pathway to help prevent cancer cells from hiding from the immune system, boosting the immune system's response against cancer. Opdivo was first FDA-approved on December 22, 2014.","Opdivo can cause serious, sometimes life-threatening, side effects in many different parts of your body. Some side effects may need to be treated with other medicines, and your cancer treatments may be delayed. Call your doctor at once if you have a cough, shortness of breath or other lung problems, vision changes, muscle pain or weakness, stomach pain, diarrhea, blood in your stools, little or no urinating, bruising or bleeding, dark urine (tea colored), yellowing of your skin or eyes, severe nausea or vomiting, frequent headaches, dizziness, confusion, increased thirst or urination, skin problems, numbness or tingling, feeling cold, changes in mood or behavior, decreased sex drive, increased sweating, sensitivity to light or other eye problems, skin problems, bruising, or weight gain or loss. Problems can also happen in other organs and tissues. These are not all signs and symptoms of immune system problems that can happen with Opdivo. Opdivo can cause severe infusion-related reactions. Tell your healthcare provider right away if you experience chest tightness, wheezing, shortness of breath, facial flushing, itching, hives, swelling, or any other allergic reaction. Life-threatening and other serious complications can occur in people who have received an allogeneic HSCT before or after being treated with a PD-1/PD-L1 blocking antibody, such as Opdivo. May cause harm to an unborn baby. Females who can get pregnant should use an adequate form of contraception while being treated with Opdivo.","To make sure Opdivo is safe for you, tell your doctor if you: Opdivo may harm an unborn baby. You may need to have a negative pregnancy test before starting this treatment. Use effective birth control to prevent pregnancy while receiving Opdivo and for at least 5 months after your last dose. Tell your doctor right away if you become pregnant. It is not known if Opdivo passes into your breast milk. Do not breastfeed while using this medicine, and for at least 5 months after your last dose.","Opdivo can cause serious side effects, including: Get emergency medical help if you have signs of an allergic reaction to Opdivo (hives, difficulty breathing, swelling in your face or throat) or a severe skin reaction (fever, sore throat, burning eyes, skin pain, red or purple skin rash with blistering and peeling). Call your doctor at once if you have: Your cancer treatments may be delayed or permanently discontinued if you have certain side effects. Common Opdivo side effects may include: This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to the FDA at 1-800-FDA-1088."
724,Opill,"Opill is an OTC birth control pill used to prevent pregnancy that is available without a prescription. Opill ( norgestrel ) is progestin-only contraceptive pill and is sometimes called a minipill, it does not contain estrogen.  Opill works mainly by thickening your cervical mucus, which makes it difficult for sperm to reach the egg, and it may suppress the release of an egg from your ovary. How effective is Opill? When Opill is taken correctly approximately 98 out of 100 sexually active women who used Opill for one year did not become pregnant, in clinical trials. Opill birth control pill starts working 2 days after you start taking it, but you must take it every day at the same time each day for it to continue to be effective. You must take Opill continuously every day without a break between blister packs. Opill birth control pill will not protect against HIV/AIDS or other sexually transmitted diseases. Opill was FDA-approved for OTC (over-the-counter) use on July 13, 2023, and will be available in stores and online in  March 2024.","Allergies. Do not take Opill if you are allergic to norgestrel or any of the inactive ingredients. Do not take Opill if you are allergic to FD C Yellow No. 5 (tartrazine). Some people who are allergic to aspirin can also have a tartrazine allergy. Symptoms include hives, facial swelling, asthma (wheezing), shock, skin redness, rash, and blisters.  If you have symptoms of an allergic reaction, stop this medicine and seek medical help immediately. For a full list of ingredients, click here Opill ingredients . Opill can increase the risk of:","If you have any of the following medical conditions, it is best to talk to a doctor before taking Opill: Talk to your healthcare provider right away if you think that you are pregnant. If you become pregnant while using this medicine, you should stop taking it and talk to your doctor. Occasionally, taking oral contraceptives such as Opill may increase your risk of having an ectopic pregnancy. This means that the pregnancy is outside of the uterus. Symptoms of an ectopic pregnancy are unusual vaginal bleeding or lower stomach area (abdominal) pain. Seek medical help immediately. Opill will not delay your ability to get pregnant when you stop taking this medicine. Although small amounts of progestin may pass into breast milk, Opill is considered safe and effective in breastfeeding women. No adverse effects have been found on either breastfeeding performance or infant health.",The most common Opill side effect is changes in menstrual periods (bleeding). Less common Opill side effects include: You should talk to your doctor if:
725,Opzelura,"Opzelura is a prescription medicine used on the skin (topical) for: The use of Opzelura along with therapeutic biologics, other JAK inhibitors, or strong immunosuppressants such as azathioprine or cyclosporine is not recommended. It is not known if this medicine is safe and effective in children less than 12 years of age with atopic dermatitis or nonsegmental vitiligo.","Opzelura cream is for use on the skin only. Do not use Opzelura cream, in your eyes, mouth or vagina. Opzelura may cause serious side effects, including: Opzelura should not be used in people with an active, serious infection, including localized infections. You should not start treatment if you have any kind of infection unless your healthcare provider tells you it is okay. You may be at a higher risk of developing shingles (herpes zoster) while using Opzelura.","Before using Opzelura, tell your healthcare provider about all of your medical conditions, including if you:","Opzelura may cause serious side effects, including: The most common side effects in people treated for atopic dermatitis include: The most common side effects in people treated for nonsegmental vitiligo include: These are not all of the possible side effects. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1‑800-FDA-1088. You may also report side effects to Incyte Corporation at 1-855-463-3463."
726,Orencia,"Orencia (abatacept) is a type of biologic that is given by intravenous infusion or subcutaneous (under the skin) injection which helps prevent your body's immune system from attacking healthy joints and other tissues and is approved for: Orencia works by helping to block T-cell activation in the immune system and belongs to the class of medicines known as selective T-cell costimulation modulators. Blocking T-cell activation interrupts the cycle that can lead to joint inflammation, pain, and destruction in certain forms of arthritis and acute graft versus host disease. T-cells are part of the immune system that helps to protect you from certain infections and cancers. It is not a cure for any autoimmune disorder and will only treat the symptoms of your condition. Orencia was first FDA-approved on 23 December 2005.","Hypersensitivity reactions, including anaphylaxis, have occurred. Orencia carries a risk of serious infections. People with a history of recurrent infections or with underlying conditions that predispose them to infections (such as a weakened immune system, COPD, or diabetes) are more at risk. Using Orencia with a TNF antagonist can increase your infection risk. Your doctor should screen you for viral hepatitis and latent TB infection before starting treatment with Orencia.  If you test positive for TB your doctor will initiate TB treatment. All your childhood vaccinations and other age-appropriate vaccinations should be up to date before starting Orencia. Live vaccines should not be given concurrently or within 3 months of discontinuation. Orencia may blunt the effectiveness of some immunizations. The risk of respiratory side effects may be more common in patients with COPD (Chronic Obstructive Pulmonary Disease). There is a risk of cytomegalovirus (CMV) and Epstein-Barr Virus (EBV) reactivation in patients treated for aGVHD prophylaxis. It is not known if Orencia is safe and effective in children less than two years of age.","You should not use Orencia if you are allergic to Orencia, abatacept, or any of the components of the intravenous or subcutaneous injection. Before you receive or use Orencia, tell your healthcare provider about all of your medical conditions, including if you have: Some people treated with Orencia have developed skin cancer. Tell your healthcare provider if you have a family or personal history of skin cancer, or if you see any growths or changes in the appearance of your skin during or after treatment. It is not known if Orencia can harm an unborn baby. If you inadvertently become pregnant while taking Orencia, register with the pregnancy registry by calling 1-877-311-8972. When your baby is born talk to your healthcare provider before your baby receives any vaccines. It is not known if Orencia passes into breast milk. Talk to your healthcare provider about the best way to feed your baby.","Get emergency medical help if you have signs of an allergic reaction to Orencia such as hives; difficulty breathing; or swelling of your face, lips, tongue, or throat. Some side effects may occur during the injection. Tell your caregiver right away if you feel dizzy, light-headed, itchy, or have a severe headache or trouble breathing within 1 hour after receiving the injection. Orencia may cause serious side effects, including: The most common side effects of Orencia include: In children and adolescents, other side effects may include: The most common side effects of Orencia in the prevention of aGVHD include: These are not all the possible side effects of Orencia. Call your doctor for medical advice about side effects. You may report side effects to the FDA at 1-800-FDA-1088."
727,Orgovyx,Orgovyx (relugolix) is a prescription medicine used to treat advanced prostate cancer (cancer that begins in the prostate [a male reproductive gland]) in adult men. Relugolix belongs to a class of medications called gonadotropin-releasing hormone (GnRH) receptor antagonists. Orgovyx tablets work by decreasing the amount of testosterone (a male hormone) produced by the body. This may slow or stop the spread of prostate cancer cells that need testosterone to grow.,"Orgovyx may decrease fertility in men. Talk to your doctor about the risks. Orgovyx is intended only for use in men. This medicine is not intended for use alone in women, but can be used in combination with other medications for other uses. If you are a male and your female partner can become pregnant, you should use effective contraception during treatment and for 2 weeks after the last dose. Relugolix may harm the fetus. Tell your doctor if you or anyone in your family has or has ever had long QT syndrome (a rare heart problem that may cause irregular heartbeat, fainting, or sudden death). Also, tell your doctor if you have or have ever had an electrolyte imbalance in your blood, heart failure, diabetes, high triglycerides (fatty substances in the blood), anemia, or liver problems. Tell your doctor and pharmacist if you are allergic to relugolix, any other medications, or any of the ingredients in the tablets. Ask your pharmacist for a list of the ingredients.","You should not use Orgovyx if you are allergic to relugolix, or if you have: heart problems; or long QT syndrome (in you or a family member). Orgovyx can harm an unborn baby and cause loss of pregnancy (miscarriage). If you are a man, use birth control if your sex partner is able to get pregnant. Keep using birth control for at least 2 weeks after your last dose. Tell your doctor if your partner is pregnant or plans to get pregnant. It may be harder for you to get a woman pregnant while you are using Orgovyx. You should still use birth control to prevent pregnancy because the medicine can harm an unborn baby.","Get emergency medical help if you have signs of an allergic reaction to Orgovyx: hives, difficult breathing, swelling of your face, lips, tongue, or throat, trouble swallowing. Orgovyx may cause serious side effects. Call your doctor at once if you have: fast or pounding heartbeats, fluttering in your chest, shortness of breath, and sudden dizziness (like you might pass out); chest pain or pressure; sudden numbness or weakness on one side of the body; little or no urination, pain or burning when you urinate; or unusual bleeding. Common Orgovyx side effects may include: flushing (sudden warmth, redness, or tingly feeling); feeling tired; high blood sugar; high cholesterol or triglycerides; ( anemia ) low red blood cells; depressed mood; weight gain; impotence , sexual problems; abnormal growth of breast tissue; diarrhea , constipation ; muscle or joint pain; or abnormal lab tests (liver, blood). This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088."
728,Oriahnn,"Oriahnn contains a combination of elagolix , estradiol , and norethindrone . Oriahnn is a prescription medicine used to control heavy menstrual bleeding in adult women with uterine fibroids. Oriahnn is not for use in women who have entered menopause .","Do not use Oriahnn if you are pregnant. You should not use Oriahnn if you have: uncontrolled high blood pressure , heart disease, circulation problems (especially with diabetes), undiagnosed vaginal bleeding, liver disease, severe migraine headaches, osteoporosis , if you smoke and are over 35, or if you have ever had a heart attack , a stroke, a blood clot, or cancer of the breast, uterus/cervix, or vagina. Taking Oriahnn can increase your risk of blood clots, stroke, or heart attack. Your risk of these side effects is highest if you are older than 35 and you smoke, or if you have high cholesterol , diabetes, uncontrolled high blood pressure, or if you are overweight . Stop taking Oriahnn and seek medical attention right away if you have chest pain spreading to your jaw or shoulder, a sudden severe headache , problems with vision or speech, or swelling or pain in your leg.","You should not use Oriahnn if you are allergic to elagolix, estradiol, or norethindrone, or if you have: a history of heart attack, stroke; a blood clot in your heart, lungs, legs, or eyes; blood circulation problems; a heart valve disorder or heart rhythm problems; uncontrolled high blood pressure; problems caused by diabetes that affect your eyes, kidneys, nerves, or blood vessels; severe migraine headaches (with aura), especially if you are older than 35; gallbladder problems; a history of hormone-related cancer (such as cancer of the breast, uterus/cervix, or vagina); osteoporosis; or abnormal vaginal bleeding that has not been checked by a doctor. Taking Oriahnn can increase your risk of blood clots, stroke, or heart attack. You are even more at risk if you have high blood pressure, diabetes, high cholesterol, or if you are overweight. Smoking can greatly increase your risk of blood clots, stroke, or heart attack. You should not take Oriahnn if you smoke and are over 35 years old. Oriahnn may also cause bone loss, which may be partially permanent. It is not known if this could increase your risk of bone fracture. Oriahnn is not a birth control medication and will not prevent pregnancy. You may need to have a negative pregnancy test before starting this treatment. Do not take Oriahnn if you are pregnant or trying to get pregnant. Oriahnn may increase your risk of miscarriage. Use effective birth control to prevent pregnancy while taking this medicine and for 28 days after your last dose. To prevent pregnancy while using Oriahnn, use a non-hormonal form of birth control: condom, diaphragm, cervical cap, or contraceptive sponge. Avoid using birth control pills , injections, implants, skin patches, and vaginal rings. Stop taking Oriahnn and call your doctor right away if you think you might be pregnant. If you are pregnant, your name may be listed on a pregnancy registry to track the effects of elagolix, estradiol, and norethindrone on the baby. Oriahnn may change your menstrual periods (decreased or no bleeding), which could make it harder to know if you are pregnant. Watch for other signs of pregnancy such as breast tenderness, weight gain, and nausea . To make sure Oriahnn is safe for you, tell your doctor if you have ever had:: bone problems, including broken bones; depression , a mood disorder , or suicidal thoughts; or jaundice (yellowing of your skin or eyes) caused by pregnancy or birth control.","Get emergency medical help if you have signs of an allergic reaction to Oriahnn: hives ; difficult breathing; swelling of your face, lips, tongue, or throat. This medicine may increase your risk of heart attack, stroke, or blood clot. Stop using this medicine and seek medical attention right away if you have: chest pain or pressure, pain spreading to your jaw or shoulder, nausea, sweating; swelling, pain, warmth, or redness in an arm or leg; sudden shortness of breath; sudden numbness, weakness, or severe headache; vision problems, bulging eyes; or trouble speaking. Call your doctor at once if you have: high blood sugar - increased thirst, increased urination, dry mouth, fruity breath odor; any new or worsening mood symptoms - mood or behavior changes, depression, anxiety , thoughts about suicide or hurting yourself; or liver or gallbladder problems - loss of appetite, nausea, vomiting, stomach pain (upper right side), tiredness, bruising, swelling, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Oriahnn may cause hair loss that may be permanent. Common Oriahnn side effects may include: hot flashes ; feeling tired; hair loss (may be permanent); headache; or irregular menstrual periods. This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088."
729,Orladeyo,"Orladeyo is a treatment for hereditary angioedema (HAE) to help reduce the number of angioedema attacks in adults and children at least 12 years old. Orladeyo works by blocking a protein called kallikrein which results in a reduction of swelling and inflammation in hereditary angioedema. Orlando capsules are taken once daily. Hereditary angioedema is a rare and potentially life-threatening genetic disorder that causes an attack of rapid swelling in the face, throat, arms, legs or around the abdomen. Orladeyo is not used for treating an HAE attack that has already begun. In people with hereditary angioedema, overactive kallikrein increases levels of bradykinin, a protein that causes blood vessels to widen and leak. This leads to the swelling and inflammation of angioedema attacks. By inhibiting kallikrein, Orladeyo reduces the frequency of angioedema attacks. Orladeyo mechanism of action is as a plasma kallikrein inhibitor, it binds to plasma kallikrein which decreases plasma kallikrein activity to control excess bradykinin generation in patients with HAE. Orladeyo (berotralstat) is from a group of medicines called kallikrein inhibitors.","Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies , and all medicines you use. An increase in QT prolongation can occur at dosages higher than the recommended 150 mg once daily dosage. Additional doses or doses of this medicine higher than 150 mg once daily are not recommended. Taking Orladeyo with certain other medicines may affect the way other medicines work and other medicines may affect how berotralstat works.","Before taking Orladeyo for HAE make sure this medicine is safe for you, tell your doctor if you have ever had: Tell your doctor if you are pregnant or breastfeeding. Orladeyo is not approved for use by anyone younger than 12 years old.","Common Orladeyo side effects may include stomach pain, heartburn , vomiting , diarrhea , or back pain, these side effects can occur in 10% or more patients. Get emergency medical help if you have signs of an allergic reaction to this medicine with symptoms of hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Taking more than one capsule a day may cause serious side effects of heart rhythm problems. QT prolongation is a heart rhythm problem that can happen in people who take more than one capsule a day. This condition can cause an abnormal heartbeat. Do not take more than one capsule a day. This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088."
730,Orlistat,"Orlistat blocks some of the fat that you eat, keeping it from being absorbed by your body. Orlistat is used to aid in weight loss, or to help reduce the risk of regaining weight already lost. This medicine must be used together with a reduced-calorie diet and increased physical activity. Orlistat is for use only in adults that are overweight or obese. Xenical is the prescription-strength form of orlistat. The Alli brand is available without a prescription.","Do not take orlistat if you are pregnant. You should not use this medicine if you have a digestive disorder (problems absorbing food). You should not use Xenical if you have gallbladder problems, or if you are pregnant. Do not use Alli if you have had an organ transplant, if you use cyclosporine , or if you are not overweight. Orlistat is only part of a complete program of treatment that also includes diet, exercise, and weight control. Your daily intake of fat, protein, and carbohydrates should be evenly divided over all of your daily meals. Follow your diet, medication, and exercise routines very closely. Avoid a diet that is high in fat. High-fat meals taken in combination with orlistat can increase your risk of unpleasant side effects on your stomach or intestines.","You should not use orlistat if you are allergic to it, if you have malabsorption syndrome (an inability to absorb food and nutrients properly), or if you are pregnant. You also should not use Xenical if you have: gallbladder problems; or if you are pregnant. Do not use Alli if: you are not overweight; you have had an organ transplant; or you are taking cyclosporine To make sure orlistat is safe for you, tell your doctor if you have ever had: kidney stones; gallbladder disease; pancreatitis; thyroid disease; liver disease; kidney disease; or organ transplant; or an eating disorder (anorexia or bulimia). Do not use orlistat if you are pregnant. Weight loss is not recommended during pregnancy, even if you are overweight. Stop taking this medicine and tell your doctor right away if you become pregnant. Taking orlistat can make it harder for your body to absorb certain vitamins. These vitamins are important if you are nursing a baby. Do not use this medicine without a doctor's advice if you are breast-feeding a baby. Xenical is not approved for use by anyone younger than 12 years old. Do not give Alli to anyone under 18 years old.","Get emergency medical help if you have signs of an allergic reaction to orlistat: hives; difficult breathing; swelling of your face, lips, tongue, or throat. Stop using orlistat and call your doctor at once if you have: severe stomach pain; severe pain in your lower back; blood in your urine, painful or difficult urination; signs of kidney problems including little or no urinating; swelling in your feet or ankles; feeling tired or short of breath; or signs of liver problems including nausea, upper stomach pain, itching, tired feeling, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Common orlistat side effects are caused by its fat-blocking action. These are signs that the medicine is working properly. These side effects are usually temporary and may lessen as you continue using this medicine: oily or fatty stools; oily spotting in your undergarments; orange or brown colored oil in your stool; gas and oily discharge; loose stools, or an urgent need to go to the bathroom, inability to control bowel movements; an increased number of bowel movements; or stomach pain, nausea, rectal pain. This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088."
